,站点号,海拔高度(m),经度,纬度,年份,月份,平均气温(℃),平均最高气温(℃),平均最低气温(℃),最高气温极值(℃),最低气温极值(℃),平均气温≥18℃的天数,平均气温≥35℃的天数,平均气温≤0℃的天数,平均露点温度(℃),降水量(mm),最大单日降水量(mm),降水天数,平均海平面气压(hPa),最低海平面气压(hPa),平均站点气压(hPa),积雪深度(mm),平均能见度(km),最小能见度(km),最大能见度(km),平均风速(knots),平均最大持续风速(knots),单日最大平均风速(knots),平均最大瞬时风速(knots),最大瞬时风速极值(knots)
10,54102099999,1004.0,115.375,44.125,2012,11,-9.43,-4.22,-15.79,14.0,-28.28,0,0,27,-14.17,30.48,11.94,11,1024.99,1010.3,901.01,,26.62,6.12,29.93,7.11,11.15,19.4,,
11,54102099999,1004.0,115.375,44.125,2012,12,-20.42,-14.81,-26.77,-4.61,-33.61,0,0,31,-24.75,5.59,1.52,7,1033.76,1018.3,903.67,,27.78,19.79,29.93,5.97,9.72,17.5,,
0,54102099999,1004.0,115.375,44.125,2013,1,-19.49,-13.07,-26.56,2.39,-33.11,0,0,31,-23.86,3.3,0.76,8,1034.38,1022.1,904.53,,27.7,18.19,29.93,5.56,9.22,15.5,,
1,54102099999,1004.0,115.375,44.125,2013,2,-16.67,-10.02,-24.29,0.5,-32.5,0,0,28,-21.69,2.79,1.78,4,1031.93,1014.9,903.81,,28.98,22.05,29.93,6.48,10.9,25.3,,
2,54102099999,1004.0,115.375,44.125,2013,3,-4.27,1.73,-12.31,11.72,-21.72,0,0,24,-12.77,9.14,3.81,6,1019.96,998.5,901.96,,28.05,22.05,29.93,7.2,13.35,23.3,,
3,54102099999,1004.0,115.375,44.125,2013,4,2.07,8.22,-5.26,22.61,-10.5,0,0,14,-9.63,19.56,3.81,10,1015.4,1001.9,897.37,,27.95,18.19,29.93,8.07,14.45,25.3,,
4,54102099999,1004.0,115.375,44.125,2013,5,16.08,22.71,6.54,30.22,-3.78,10,0,0,-2.79,11.18,4.06,6,1006.14,995.5,894.49,,28.18,24.14,29.93,8.55,14.92,25.3,,
5,54102099999,1004.0,115.375,44.125,2013,6,18.72,24.79,11.97,30.22,3.61,19,0,0,8.21,65.53,12.19,17,1003.81,995.4,893.35,,28.12,20.28,29.93,7.31,12.24,19.4,,
6,54102099999,1004.0,115.375,44.125,2013,7,21.38,27.31,14.4,33.5,11.0,28,0,0,12.23,101.35,22.35,20,1000.64,993.7,891.52,,28.9,23.17,29.93,6.27,10.73,21.4,,
7,54102099999,1004.0,115.375,44.125,2013,8,20.04,26.36,12.19,33.72,3.89,22,0,0,9.28,68.07,43.43,12,1004.21,995.6,894.21,,28.92,21.89,29.93,6.81,12.23,23.3,,
8,54102099999,1004.0,115.375,44.125,2013,9,13.66,20.42,4.37,27.72,-3.0,4,0,0,0.48,7.37,4.83,3,1013.89,1000.7,907.05,,29.11,23.82,29.93,7.15,11.34,21.4,,
9,54102099999,1004.0,115.375,44.125,2013,10,4.8,12.08,-3.63,27.39,-9.5,0,0,7,-5.58,5.59,4.06,4,1022.89,1003.0,908.33,,27.87,21.57,29.93,6.55,11.54,17.5,,
10,54102099999,1004.0,115.375,44.125,2013,11,-4.59,1.63,-11.76,11.39,-21.5,0,0,23,-12.57,3.56,1.78,7,1025.27,1015.7,903.32,10.16,28.61,23.98,29.93,6.74,11.08,21.4,,
11,54102099999,1004.0,115.375,44.125,2013,12,-14.29,-7.84,-21.0,3.28,-27.72,0,0,31,-19.62,4.57,1.52,6,1031.85,1013.4,904.76,,27.31,16.42,29.93,5.37,8.9,17.5,,
0,54102099999,1004.0,115.375,44.125,2014,1,-12.68,-5.22,-21.23,3.0,-31.0,0,0,31,-20.59,30.73,29.97,2,1029.22,1013.4,903.19,,18.67,7.89,25.75,5.99,11.15,23.3,,
1,54102099999,1004.0,115.375,44.125,2014,2,-12.2,-4.16,-20.41,10.0,-27.11,0,0,26,-20.02,2.54,0.76,5,1031.69,1011.3,905.6,,17.45,3.7,28.81,5.46,9.72,17.5,,
2,54102099999,1004.0,115.375,44.125,2014,3,-0.97,7.18,-11.33,22.28,-22.61,0,0,13,-15.14,2.54,1.27,4,1022.01,1005.8,901.91,,18.17,9.01,25.43,6.0,11.42,21.4,,
3,54102099999,1004.0,115.375,44.125,2014,4,9.63,17.21,-0.07,27.11,-9.61,0,0,1,-8.48,5.84,3.81,4,1016.16,1003.7,901.0,,18.28,10.3,25.27,7.78,13.53,21.4,,
4,54102099999,1004.0,115.375,44.125,2014,5,12.32,18.26,4.07,35.0,-6.72,7,0,1,-0.18,62.48,17.78,16,1007.68,996.3,894.39,,22.14,10.14,29.93,8.49,14.73,21.4,,
5,54102099999,1004.0,115.375,44.125,2014,6,18.41,24.62,11.57,30.5,5.11,17,0,0,9.33,66.04,27.69,11,1006.42,999.4,895.58,,24.51,16.58,29.93,6.27,10.87,17.5,,
6,54102099999,1004.0,115.375,44.125,2014,7,22.27,29.26,14.33,37.11,9.78,28,0,0,11.48,63.5,17.27,15,1002.92,998.1,900.7,,22.58,9.33,28.81,6.47,10.79,17.5,,
7,54102099999,1004.0,115.375,44.125,2014,8,19.72,26.68,11.88,34.22,5.78,22,0,0,7.99,27.94,5.08,13,1008.69,1002.0,898.08,,21.9,12.55,27.2,5.72,9.84,19.4,,
8,54102099999,1004.0,115.375,44.125,2014,9,13.45,20.63,4.4,29.89,-3.89,7,0,0,1.06,23.37,8.89,10,1014.88,1004.8,901.31,,22.0,17.06,28.16,6.26,10.37,17.5,,
9,54102099999,1004.0,115.375,44.125,2014,10,5.96,13.37,-1.72,23.39,-11.72,0,0,4,-4.53,34.29,17.53,7,1020.73,1009.3,906.64,,20.02,8.37,26.72,5.83,10.28,17.5,,
10,54102099999,1004.0,115.375,44.125,2014,11,-4.23,2.56,-11.91,10.22,-20.28,0,0,25,-13.51,1.02,0.51,2,1025.64,1009.7,903.85,,21.08,14.48,28.49,6.17,10.62,19.4,,
11,54102099999,1004.0,115.375,44.125,2014,12,-14.58,-8.86,-20.86,-0.11,-25.61,0,0,31,-20.87,5.33,1.02,9,1032.15,1020.7,905.0,,22.13,14.16,29.29,5.75,9.54,15.5,,
0,54102099999,1004.0,115.375,44.125,2015,1,-14.32,-7.32,-22.05,1.39,-27.39,0,0,31,-19.74,153.16,59.94,12,1033.3,1018.0,906.06,30.48,18.75,7.56,29.29,5.14,8.72,15.5,,
1,54102099999,1004.0,115.375,44.125,2015,2,-11.32,-4.43,-18.87,5.72,-29.11,0,0,28,-17.27,34.8,20.07,9,1028.66,1013.4,903.37,,18.02,8.69,28.32,5.35,9.09,21.4,,
2,54102099999,1004.0,115.375,44.125,2015,3,-2.06,5.08,-11.28,19.11,-22.28,0,0,19,-16.83,0.51,0.51,1,1022.59,1005.9,902.01,,20.28,8.53,27.04,7.09,13.16,21.4,,
3,54102099999,1004.0,115.375,44.125,2015,4,6.6,12.49,-1.68,28.89,-11.89,4,0,5,-7.78,36.58,14.48,8,1015.75,1002.3,899.42,23.62,21.69,10.78,29.77,8.02,13.67,21.4,,
4,54102099999,1004.0,115.375,44.125,2015,5,12.66,19.16,3.83,30.0,-5.28,9,0,0,-2.87,45.97,18.03,11,1007.04,994.3,894.03,,22.6,14.32,27.68,8.46,14.66,23.3,,
5,54102099999,1004.0,115.375,44.125,2015,6,17.1,22.62,10.39,28.72,5.78,12,0,0,7.94,143.0,65.53,17,1005.01,997.2,893.85,,22.61,14.16,28.81,6.13,10.95,17.5,,
6,54102099999,1004.0,115.375,44.125,2015,7,21.53,27.44,14.87,33.5,6.0,27,0,0,12.33,76.71,11.94,17,1004.45,998.4,894.93,,21.47,14.16,28.81,6.34,10.84,23.3,,
7,54102099999,1004.0,115.375,44.125,2015,8,19.63,25.92,11.93,33.22,9.22,23,0,0,9.86,46.48,25.4,8,1008.45,998.8,897.84,,21.73,14.81,27.2,5.25,9.29,15.5,,
8,54102099999,1004.0,115.375,44.125,2015,9,13.83,19.77,6.18,26.22,0.11,4,0,0,4.77,48.77,16.0,10,1015.67,1006.8,902.22,,23.69,9.5,28.97,6.04,10.57,21.4,,
9,54102099999,1004.0,115.375,44.125,2015,10,5.12,11.45,-2.58,23.72,-9.0,0,0,7,-5.29,16.0,7.11,4,1021.49,1012.2,903.95,,22.74,12.55,29.93,6.44,10.97,25.3,,
10,54102099999,1004.0,115.375,44.125,2015,11,-7.19,-2.06,-13.42,19.11,-28.22,0,0,24,-13.01,156.97,70.1,15,1030.64,1014.3,906.88,35.56,16.13,8.05,25.59,5.25,8.88,17.5,,
11,54102099999,1004.0,115.375,44.125,2015,12,-13.69,-9.11,-19.66,-0.39,-32.61,0,0,31,-17.39,270.0,89.92,13,1033.05,1015.3,906.12,88.9,15.84,5.15,29.77,5.56,9.15,17.5,,
0,54102099999,1004.0,115.375,44.125,2016,1,-23.33,-18.58,-29.33,-6.22,-38.39,0,0,31,-27.26,4.32,1.27,4,1039.73,1024.3,907.46,139.7,19.31,7.08,29.29,5.34,8.41,13.6,,
1,54102099999,1004.0,115.375,44.125,2016,2,-15.27,-10.02,-22.64,4.0,-27.89,0,0,29,-19.73,9.65,6.1,6,1032.61,1015.4,905.06,149.86,22.34,8.53,29.93,5.84,9.92,15.5,,
2,54102099999,1004.0,115.375,44.125,2016,3,-2.12,3.26,-9.65,20.39,-21.61,0,0,19,-12.18,93.47,29.97,10,1023.06,996.5,905.05,20.32,21.2,6.6,27.84,6.97,11.78,23.3,,
3,54102099999,1004.0,115.375,44.125,2016,4,7.03,12.9,-1.45,26.22,-6.61,1,0,2,-9.51,6.1,2.54,5,1011.55,995.9,895.91,,23.08,11.59,29.61,8.2,14.64,23.3,,
4,54102099999,1004.0,115.375,44.125,2016,5,13.94,19.79,5.07,31.72,-1.72,6,0,0,-4.29,16.76,13.21,7,1008.25,1000.3,895.54,,23.87,15.45,29.93,9.67,15.35,23.3,,
5,54102099999,1004.0,115.375,44.125,2016,6,18.08,24.22,10.33,30.78,3.28,15,0,0,6.39,77.72,19.3,17,1004.73,996.5,893.96,,24.25,17.06,29.93,6.33,12.11,19.4,,
6,54102099999,1004.0,115.375,44.125,2016,7,23.41,29.27,16.54,35.89,9.89,29,0,0,12.43,51.31,16.0,12,1003.41,995.4,894.62,,23.56,16.09,29.93,5.95,11.11,21.4,,
7,54102099999,1004.0,115.375,44.125,2016,8,22.53,28.58,14.22,39.39,6.72,26,0,0,9.14,54.36,16.76,8,1007.42,998.4,897.96,,25.11,14.65,29.93,6.0,10.47,19.4,,
8,54102099999,1004.0,115.375,44.125,2016,9,13.64,19.41,6.71,24.5,-3.0,2,0,0,6.37,30.48,6.1,12,1014.42,1002.2,900.95,,24.77,13.36,29.93,5.11,9.46,17.5,,
9,54102099999,1004.0,115.375,44.125,2016,10,3.26,9.23,-3.92,26.72,-16.28,0,0,10,-4.46,57.15,27.69,9,1022.61,1007.3,904.22,20.32,21.81,14.32,29.93,5.79,10.16,19.4,,
10,54102099999,1004.0,115.375,44.125,2016,11,-6.52,-1.19,-13.03,13.22,-20.78,0,0,26,-14.41,44.45,9.91,10,1026.24,1007.5,906.38,10.16,24.0,11.91,29.93,6.32,10.5,17.5,,
11,54102099999,1004.0,115.375,44.125,2016,12,-12.73,-6.92,-20.32,2.72,-28.89,0,0,31,-17.87,481.33,70.1,20,1032.45,1019.9,906.07,40.64,19.62,7.08,28.97,5.37,9.28,19.4,,
0,54102099999,1004.0,115.375,44.125,2017,1,-15.84,-9.6,-23.03,3.5,-30.39,0,0,31,-21.06,891.79,59.94,26,1034.27,1023.8,909.39,40.64,21.2,11.59,29.93,5.3,9.22,17.5,,
1,54102099999,1004.0,115.375,44.125,2017,2,-10.19,-3.78,-18.68,8.11,-27.0,0,0,28,-17.89,202.44,39.88,11,1030.42,1014.5,905.45,15.24,24.3,12.55,29.93,5.73,9.85,19.4,,
2,54102099999,1004.0,115.375,44.125,2017,3,-2.81,3.63,-11.44,10.61,-19.78,0,0,24,-13.73,8.38,2.29,7,1025.06,1016.4,903.95,,23.88,13.84,28.97,5.63,10.53,15.5,,
3,54102099999,1004.0,115.375,44.125,2017,4,7.51,14.06,-2.0,23.72,-7.28,0,0,0,-8.48,6.6,3.05,7,1012.84,1002.1,897.21,,24.72,16.09,28.97,7.42,13.86,21.4,,
4,54102099999,1004.0,115.375,44.125,2017,5,15.53,22.13,6.16,35.72,-2.39,12,0,0,-4.63,6.6,2.03,5,1008.58,998.4,896.42,,25.6,9.5,29.93,9.26,15.16,23.3,,
5,54102099999,1004.0,115.375,44.125,2017,6,20.21,26.31,11.88,35.5,5.78,21,0,0,4.28,39.88,9.91,12,1005.93,1000.3,895.74,,27.83,21.89,29.93,6.11,11.79,25.3,,
6,54102099999,1004.0,115.375,44.125,2017,7,24.57,30.38,17.02,37.72,13.28,30,0,0,11.28,36.58,10.16,10,1002.18,993.8,893.95,,27.78,15.61,29.93,6.46,10.72,15.5,,
7,54102099999,1004.0,115.375,44.125,2017,8,19.98,25.67,13.01,31.72,3.5,24,0,0,9.67,56.64,9.65,12,1006.29,995.5,902.69,,26.89,17.54,29.93,5.68,10.04,17.5,,
8,54102099999,1004.0,115.375,44.125,2017,9,15.34,22.42,5.69,30.72,-4.5,10,0,0,-0.12,12.19,7.87,8,1010.69,1000.4,898.31,,27.7,20.6,29.93,7.02,12.64,25.3,,
9,54102099999,1004.0,115.375,44.125,2017,10,4.86,10.63,-2.81,20.5,-9.39,0,0,3,-6.63,10.92,7.37,2,1024.88,1011.7,906.9,,24.01,9.17,29.93,5.59,10.4,17.5,,
10,54102099999,1004.0,115.375,44.125,2017,11,-7.77,-2.48,-15.18,13.72,-23.61,0,0,24,-15.96,207.52,50.04,11,1026.73,1013.2,903.22,30.48,25.14,11.27,29.93,6.81,11.21,19.4,,
11,54102099999,1004.0,115.375,44.125,2017,12,-14.97,-9.83,-21.43,-2.72,-29.89,0,0,31,-20.86,205.49,29.97,15,1032.93,1020.0,905.49,20.32,23.93,9.33,29.93,5.32,9.85,17.5,,
0,54102099999,1004.0,115.375,44.125,2018,1,-18.81,-13.25,-25.83,-3.39,-33.89,0,0,31,-24.66,414.02,39.88,20,1034.07,1018.3,904.64,37.34,23.42,13.04,29.93,6.02,10.34,15.5,,
1,54102099999,1004.0,115.375,44.125,2018,2,-14.42,-8.41,-22.18,3.72,-29.39,0,0,28,-21.99,298.7,59.94,18,1028.84,1012.5,902.14,43.94,22.88,6.6,29.77,5.77,10.41,15.5,,
2,54102099999,1004.0,115.375,44.125,2018,3,0.3,7.64,-9.03,20.72,-23.89,0,0,14,-14.4,29.72,20.07,6,1020.06,998.8,900.66,40.64,22.58,8.21,28.81,6.64,12.04,21.4,,
3,54102099999,1004.0,115.375,44.125,2018,4,7.41,13.25,-0.92,29.72,-10.78,2,0,6,-8.17,19.56,4.06,11,1014.59,997.9,898.72,,22.9,4.51,29.93,9.02,14.96,25.3,,
4,54102099999,1004.0,115.375,44.125,2018,5,16.33,22.53,7.46,35.5,-1.72,11,0,0,-2.06,20.83,7.37,8,1007.98,991.9,896.19,,26.1,15.93,29.93,7.45,13.28,19.4,,
5,54102099999,1004.0,115.375,44.125,2018,6,20.89,26.43,12.89,33.11,8.39,25,0,0,4.96,19.56,6.1,6,1002.83,997.4,893.28,,27.36,16.58,29.93,6.77,12.36,19.4,,
6,54102099999,1004.0,115.375,44.125,2018,7,25.0,30.22,18.7,35.11,14.28,31,0,0,14.08,95.76,44.96,12,1002.18,995.6,894.1,,26.14,17.7,29.93,6.95,11.23,19.4,,
7,54102099999,1004.0,115.375,44.125,2018,8,21.51,26.97,14.66,35.72,8.89,28,0,0,12.63,50.8,14.48,9,1008.06,1000.9,898.19,,27.66,16.09,29.93,5.34,9.53,17.5,,
8,54102099999,1004.0,115.375,44.125,2018,9,11.94,17.83,5.17,25.89,0.39,3,0,0,3.04,61.47,32.51,16,1014.03,999.8,906.67,,27.12,17.06,29.93,7.1,11.73,17.5,,
9,54102099999,1004.0,115.375,44.125,2018,10,2.79,9.38,-4.83,21.0,-13.22,0,0,8,-7.68,24.64,20.07,4,1023.89,1013.6,905.16,60.96,24.69,9.82,29.93,5.52,9.52,21.4,,
10,54102099999,1004.0,115.375,44.125,2018,11,-5.82,-0.41,-12.34,14.72,-17.89,0,0,26,-13.47,236.73,59.94,13,1027.96,1016.7,905.21,10.16,22.43,8.05,29.93,5.53,9.26,17.5,,
11,54102099999,1004.0,115.375,44.125,2018,12,-15.42,-10.16,-21.94,7.72,-31.28,0,0,30,-24.69,0.0,0.0,0,1036.21,1015.1,908.05,,24.8,10.3,29.93,5.99,9.78,17.5,,
0,54102099999,1004.0,115.375,44.125,2019,1,-13.78,-7.89,-20.5,0.72,-26.28,0,0,31,-22.87,0.51,0.51,1,1034.67,1025.5,907.52,,24.75,16.58,29.93,5.96,9.97,17.5,,
1,54102099999,1004.0,115.375,44.125,2019,2,-14.38,-7.88,-22.03,3.5,-29.72,0,0,28,-22.01,184.4,29.97,11,1033.2,1012.6,905.96,,22.61,8.53,29.93,4.73,8.33,17.5,,
2,54102099999,1004.0,115.375,44.125,2019,3,-2.14,4.34,-10.71,16.61,-15.11,0,0,24,-14.68,2.79,1.52,3,1020.57,1005.0,903.38,,24.85,12.55,29.93,6.66,12.59,17.5,,
3,54102099999,1004.0,115.375,44.125,2019,4,7.34,13.76,-2.03,29.11,-11.28,1,0,2,-12.92,5.84,3.81,2,1014.43,997.1,898.55,,25.46,14.65,29.93,7.38,12.57,19.4,,
4,54102099999,1004.0,115.375,44.125,2019,5,14.26,20.71,5.09,33.22,-2.39,5,0,0,-5.57,30.23,6.6,10,1008.47,995.6,895.9,,26.28,10.94,29.93,8.24,14.92,23.3,,
5,54102099999,1004.0,115.375,44.125,2019,6,20.08,25.61,11.91,33.61,6.78,21,0,0,6.66,64.77,11.94,13,1003.69,995.2,893.72,,27.34,14.16,29.93,6.75,12.3,23.3,,
6,54102099999,1004.0,115.375,44.125,2019,7,22.82,29.01,15.19,34.5,9.22,29,0,0,11.14,59.18,32.26,13,1002.35,995.0,893.47,,27.42,12.55,29.93,5.8,10.85,19.4,,
7,54102099999,1004.0,115.375,44.125,2019,8,18.76,24.43,12.36,33.5,7.28,15,0,0,10.63,113.54,17.78,17,1007.84,1000.2,896.99,,26.67,20.92,29.93,6.13,10.85,17.5,,
8,54102099999,1004.0,115.375,44.125,2019,9,17.14,24.67,7.68,32.0,-0.89,12,0,0,2.17,16.51,10.92,5,1015.94,1003.9,903.57,,28.65,24.94,29.93,5.37,9.27,17.5,,
9,54102099999,1004.0,115.375,44.125,2019,10,4.36,10.91,-2.93,27.72,-12.0,1,0,6,-6.34,28.45,10.67,8,1023.35,1008.2,911.73,,25.75,18.35,29.93,6.58,11.65,19.4,,
10,54102099999,1004.0,115.375,44.125,2019,11,-5.28,2.08,-12.69,15.72,-22.28,0,0,22,-13.85,5.33,1.52,6,1027.86,1013.1,908.41,,24.17,16.25,29.93,5.99,10.48,23.3,19.77,32.2
11,54102099999,1004.0,115.375,44.125,2019,12,-15.1,-8.08,-22.64,-2.78,-29.0,0,0,31,-19.49,20.57,10.41,9,1032.35,1017.5,904.9,160.02,20.97,4.83,29.93,5.38,8.91,13.4,17.83,23.1
0,54102099999,1004.0,115.375,44.125,2020,1,-17.49,-10.54,-24.89,-2.72,-31.22,0,0,31,-21.13,4.06,2.79,3,1036.15,1024.7,907.1,200.66,17.65,7.56,29.93,4.93,7.77,13.0,15.75,23.5
1,54102099999,1004.0,115.375,44.125,2020,2,-12.46,-5.33,-20.57,5.72,-33.72,0,0,29,-17.08,8.64,3.3,6,1031.63,1014.3,905.37,170.18,21.39,6.12,29.93,5.52,9.88,16.5,18.57,26.2
2,54102099999,1004.0,115.375,44.125,2020,3,-1.65,4.99,-9.16,17.22,-24.22,0,0,20,-11.69,4.32,1.78,5,1020.32,1008.5,900.14,,26.92,15.93,29.93,7.19,11.64,15.5,23.19,32.8
3,54102099999,1004.0,115.375,44.125,2020,4,5.82,14.01,-3.37,29.0,-9.11,1,0,3,-11.24,10.67,6.86,3,1019.62,1002.5,902.48,,25.75,9.98,29.93,6.92,12.45,21.0,25.37,37.7
4,54102099999,1004.0,115.375,44.125,2020,5,13.95,21.1,6.06,33.72,-0.22,8,0,0,0.15,39.12,7.11,14,1006.43,995.1,893.97,,26.47,14.32,29.93,7.41,12.69,22.5,27.18,42.9
5,54102099999,1004.0,115.375,44.125,2020,6,20.42,28.69,12.19,37.39,5.22,23,0,0,6.93,35.81,11.43,9,1002.34,995.7,892.6,,27.92,20.92,29.93,6.84,12.01,16.7,27.55,45.5
6,54102099999,1004.0,115.375,44.125,2020,7,21.06,28.13,14.81,31.5,10.22,29,0,0,12.95,171.96,67.31,14,1003.63,996.5,894.02,,26.07,13.84,29.93,6.01,9.75,14.8,22.03,47.0
7,54102099999,1004.0,115.375,44.125,2020,8,20.12,27.8,13.75,31.78,8.61,25,0,0,11.96,83.31,48.51,15,1004.41,997.0,894.42,,28.16,19.79,29.93,6.19,10.23,23.1,21.03,35.2
8,54102099999,1004.0,115.375,44.125,2020,9,13.3,21.28,5.73,25.78,-1.72,1,0,0,4.95,25.65,7.62,15,1014.14,1004.1,900.6,,27.87,19.79,29.93,5.87,10.43,15.3,22.92,40.8
9,54102099999,1004.0,115.375,44.125,2020,10,3.76,12.66,-4.69,18.5,-10.89,0,0,5,-8.98,5.84,4.32,3,1022.65,1008.1,904.47,,27.33,13.36,29.93,6.75,10.99,21.6,23.28,39.8
10,54102099999,1004.0,115.375,44.125,2020,11,-6.73,1.97,-14.51,14.11,-23.89,0,0,22,-13.92,5.08,2.03,5,1031.35,1015.8,907.69,134.62,21.37,3.86,29.93,5.32,8.96,15.9,18.64,31.5
11,54102099999,1004.0,115.375,44.125,2020,12,-20.17,-14.56,-26.01,-8.11,-33.39,0,0,31,-23.92,2.29,1.27,3,1037.28,1021.8,906.88,147.83,22.18,8.53,29.93,5.9,9.16,16.5,18.55,36.3
0,54102099999,1004.0,115.375,44.125,2021,1,-20.03,-13.46,-27.67,-2.11,-37.78,0,0,31,-24.19,4.57,2.54,6,1032.13,1011.4,902.3,161.04,21.5,9.01,29.93,5.38,8.79,18.1,18.24,29.1
1,54102099999,1004.0,115.375,44.125,2021,2,-12.43,-5.52,-20.91,6.22,-30.22,0,0,24,-17.65,240.03,80.01,9,1028.51,1011.3,902.65,110.49,24.29,10.14,29.93,6.08,10.03,18.6,19.84,31.5
2,54102099999,1004.0,115.375,44.125,2021,3,-0.27,6.66,-9.28,20.89,-24.0,0,0,16,-9.88,118.62,50.04,10,1020.35,999.6,900.6,22.86,22.0,7.89,29.93,6.34,10.69,18.1,21.64,33.2
3,54102099999,1004.0,115.375,44.125,2021,4,7.18,15.74,-1.81,25.0,-8.72,0,0,1,-7.77,10.67,2.54,8,1017.14,1004.1,900.87,,25.57,10.94,29.93,7.99,12.65,22.9,26.43,46.0
4,54102099999,1004.0,115.375,44.125,2021,5,12.81,21.55,3.73,31.39,-3.78,4,0,0,-3.44,17.78,9.4,7,1005.61,997.9,892.74,,27.42,13.04,29.93,7.85,13.18,21.0,28.16,41.8
5,54102099999,1004.0,115.375,44.125,2021,6,18.56,26.43,11.09,32.72,5.78,16,0,0,6.93,52.07,14.99,14,1003.36,998.5,892.83,,28.07,16.09,29.93,6.66,11.77,20.2,25.71,42.7
6,54102099999,1004.0,115.375,44.125,2021,7,22.31,29.31,16.41,33.39,12.72,28,0,0,15.16,134.37,65.79,12,1003.05,995.3,893.92,,26.15,8.53,29.93,5.03,9.17,16.1,20.72,32.1
7,54102099999,1004.0,115.375,44.125,2021,8,18.18,25.41,11.24,31.89,8.28,19,0,0,10.41,37.34,9.65,16,1007.72,1000.1,896.61,,24.91,11.91,29.93,5.47,9.52,16.5,19.87,31.7
8,54102099999,1004.0,115.375,44.125,2021,9,14.61,23.27,7.08,28.0,-2.5,4,0,0,6.84,65.53,20.83,13,1013.52,1006.5,900.45,,26.72,15.13,29.93,5.29,9.3,16.3,20.76,31.1
9,54102099999,1004.0,115.375,44.125,2021,10,4.42,13.71,-3.61,23.28,-9.89,0,0,5,-6.91,4.83,4.83,1,1026.04,1003.7,907.6,,28.02,22.69,29.93,5.22,9.35,17.1,19.59,41.8
10,54102099999,1004.0,115.375,44.125,2021,11,-5.89,1.29,-12.83,13.61,-19.11,0,0,25,-12.19,530.86,50.04,23,1026.1,1014.9,903.43,53.34,25.54,17.38,29.93,5.9,9.9,17.5,20.15,31.3
11,54102099999,1004.0,115.375,44.125,2021,12,-12.41,-5.7,-20.26,3.39,-31.39,0,0,31,-18.37,193.8,20.07,17,1031.97,1017.2,905.64,17.02,26.91,14.0,29.93,5.92,9.92,15.0,19.62,31.1
0,54102099999,1004.0,115.375,44.125,2022,1,-17.09,-8.99,-25.18,-2.0,-29.5,0,0,31,-21.92,607.31,39.88,29,1034.97,1020.3,906.26,36.32,24.09,7.56,29.93,4.37,7.25,12.6,15.47,24.1
