time,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2),土壤蒸发量(mm),降水量(mm),平均气温(℃)
2019-06-01,16.75,43.84,60.77,166.95,21.56,64.77,20.08
2019-07-01,17.25,45.0,57.97,166.86,20.25,59.18,22.82
2019-08-01,17.39,40.65,52.05,166.81,15.29,113.54,18.76
2019-09-01,12.68,37.3,48.82,166.76,4.85,16.51,17.14
2019-10-01,13.99,32.99,47.08,166.72,5.05,28.45,4.36
2019-11-01,13.89,33.78,47.06,166.7,3.05,5.33,-5.28
2019-12-01,12.59,33.85,47.07,166.7,0.56,20.57,-15.1
2020-01-01,12.21,33.85,47.07,166.7,0.36,4.06,-17.49
2020-02-01,11.86,33.85,47.07,166.7,0.63,8.64,-12.46
2020-03-01,11.95,33.84,47.07,166.7,2.78,4.32,-1.65
2020-04-01,13.73,33.65,46.99,166.7,10.89,10.67,5.82
2020-05-01,16.51,34.02,46.68,166.7,21.31,39.12,13.95
2020-06-01,17.01,40.0,46.43,166.67,24.06,35.81,20.42
2020-07-01,21.31,56.6,54.24,166.62,32.37,171.96,21.06
2020-08-01,20.79,56.63,68.52,166.51,24.66,83.31,20.12
2020-09-01,20.04,56.67,76.04,166.32,17.58,25.65,13.3
2020-10-01,16.59,52.88,80.84,166.09,11.99,5.84,3.76
2020-11-01,15.04,50.66,82.25,165.95,2.52,5.08,-6.73
2020-12-01,16.51,50.4,82.44,165.92,1.51,2.29,-20.17
2021-01-01,15.17,50.4,82.44,165.92,1.13,4.57,-20.03
2021-02-01,13.93,50.4,82.44,165.92,1.53,240.03,-12.43
2021-03-01,14.37,50.38,82.43,165.92,7.5,118.62,-0.27
2021-04-01,14.18,49.84,81.94,165.92,11.14,10.67,7.18
2021-05-01,14.77,47.77,79.86,165.91,16.38,17.78,12.81
2021-06-01,17.66,47.63,76.28,165.71,25.57,52.07,18.56
2021-07-01,22.1,61.7,85.27,165.46,30.88,134.37,22.31
2021-08-01,20.36,56.11,85.64,165.15,19.25,37.34,18.18
2021-09-01,21.01,59.26,87.32,164.85,17.94,65.53,14.61
2021-10-01,16.93,54.84,92.52,164.59,10.48,4.83,4.42
2021-11-01,13.91,52.17,93.43,164.49,1.44,530.86,-5.89
2021-12-01,13.14,52.14,93.45,164.48,0.93,193.8,-12.41
2022-01-01,12.45,52.14,93.45,164.48,0.44,607.31,-17.09
2022-02-01,12.1,52.14,93.45,164.48,0.27,796.04,-17.93
2022-03-01,14.96,52.13,93.44,164.48,5.98,115.57,-2.36
