,time,blk,w,S
80,2017-06-26,G13,628.21,12
81,2017-06-26,G20,386.29,12
82,2017-06-26,G9,587.31,12
83,2017-08-27,G11,1124.32,6
84,2017-08-27,G16,1042.17,6
85,2017-08-27,G8,1034.16,6
86,2017-08-27,G17,907.06,0
87,2017-08-27,G19,890.26,0
88,2017-08-27,G21,799.8299999999999,0
89,2017-08-27,G12,1078.44,3
90,2017-08-27,G18,1027.01,3
91,2017-08-27,G6,1178.21,3
92,2017-08-27,G13,1161.71,12
93,2017-08-27,G20,991.81,12
94,2017-08-27,G9,993.75,12
95,2017-07-22,G11,748.9499999999999,6
96,2017-07-22,G16,748.32,6
97,2017-07-22,G8,698.91,6
98,2017-07-22,G17,476.77,0
99,2017-07-22,G19,530.21,0
100,2017-07-22,G21,542.19,0
101,2017-07-22,G12,812.6999999999999,3
102,2017-07-22,G18,664.69,3
103,2017-07-22,G6,1116.64,3
104,2017-07-22,G13,957.31,12
105,2017-07-22,G20,687.21,12
106,2017-07-22,G9,889.84,12
107,2017-09-20,G11,854.4,6
108,2017-09-20,G16,744.65,6
109,2017-09-20,G8,945.91,6
110,2017-09-20,G17,596.8,0
111,2017-09-20,G19,640.58,0
112,2017-09-20,G21,582.6,0
113,2017-09-20,G12,850.0699999999999,3
114,2017-09-20,G18,800.99,3
115,2017-09-20,G6,985.9,3
116,2017-09-20,G13,910.51,12
117,2017-09-20,G20,816.97,12
118,2017-09-20,G9,870.6,12
119,2018-05-15,G11,51.09,6
120,2018-05-15,G16,50.5,6
121,2018-05-15,G8,68.11,6
122,2018-05-15,G17,59.62,0
123,2018-05-15,G19,50.1,0
124,2018-05-15,G21,63.22,0
125,2018-05-15,G12,56.405,3
126,2018-05-15,G18,30.43,3
127,2018-05-15,G6,71.87,3
128,2018-05-15,G13,44.23,12
129,2018-05-15,G20,59.400000000000006,12
130,2018-05-15,G9,37.62,12
131,2018-06-25,G11,274.97,6
132,2018-06-25,G16,263.27,6
133,2018-06-25,G8,432.42,6
134,2018-06-25,G17,392.42,0
135,2018-06-25,G19,248.89,0
136,2018-06-25,G21,360.73,0
137,2018-06-25,G12,291.0,3
138,2018-06-25,G18,213.3,3
139,2018-06-25,G6,375.96,3
140,2018-06-25,G13,250.65,12
141,2018-06-25,G20,200.94,12
142,2018-06-25,G9,288.57,12
143,2018-08-21,G11,576.35,6
144,2018-08-21,G16,456.85,6
145,2018-08-21,G8,719.4399999999999,6
146,2018-08-21,G17,610.25,0
147,2018-08-21,G19,578.14,0
148,2018-08-21,G21,567.57,0
149,2018-08-21,G12,611.13,3
150,2018-08-21,G18,611.15,3
151,2018-08-21,G6,769.71,3
152,2018-08-21,G13,418.52,12
153,2018-08-21,G20,440.91,12
154,2018-08-21,G9,466.08,12
155,2018-07-22,G11,687.25,6
156,2018-07-22,G8,643.36,6
157,2018-07-22,G17,530.6,0
158,2018-07-22,G19,460.15,0
159,2018-07-22,G21,549.98,0
160,2018-07-22,G12,581.34,3
161,2018-07-22,G18,659.57,3
162,2018-07-22,G6,935.87,3
163,2018-07-22,G13,637.13,12
164,2018-07-22,G20,633.17,12
165,2018-07-22,G9,576.1899999999999,12
166,2018-09-21,G11,541.52,6
167,2018-09-21,G16,658.5699999999999,6
168,2018-09-21,G8,494.77,6
169,2018-09-21,G17,760.99,0
170,2018-09-21,G19,656.38,0
171,2018-09-21,G21,579.39,0
172,2018-09-21,G12,613.05,3
173,2018-09-21,G18,484.9,3
174,2018-09-21,G6,762.6,3
175,2018-09-21,G13,258.54,12
176,2018-09-21,G20,267.51,12
177,2018-09-21,G9,319.35,12
178,2019-05-10,G11,126.79,6
179,2019-05-10,G16,109.34,6
180,2019-05-10,G8,85.73,6
181,2019-05-10,G17,78.49,0
182,2019-05-10,G19,80.0,0
183,2019-05-10,G21,61.73,0
184,2019-05-10,G12,103.23,3
185,2019-05-10,G18,101.19,3
186,2019-05-10,G6,114.49,3
187,2019-05-10,G13,71.9,12
188,2019-05-10,G20,92.42,12
189,2019-05-10,G9,101.17,12
190,2019-06-26,G11,512.8100000000001,6
191,2019-06-26,G16,461.4,6
192,2019-06-26,G8,516.69,6
193,2019-06-26,G17,504.39,0
194,2019-06-26,G19,390.77,0
195,2019-06-26,G21,578.52,0
196,2019-06-26,G12,485.23,3
197,2019-06-26,G18,463.5,3
198,2019-06-26,G6,586.77,3
199,2019-06-26,G13,315.34,12
200,2019-06-26,G20,389.58,12
201,2019-06-26,G9,413.64,12
202,2019-08-26,G11,543.5,6
203,2019-08-26,G16,591.21,6
204,2019-08-26,G8,655.57,6
205,2019-08-26,G17,635.4300000000001,0
206,2019-08-26,G19,478.49,0
207,2019-08-26,G21,635.7,0
208,2019-08-26,G12,599.8,3
209,2019-08-26,G18,611.6,3
210,2019-08-26,G6,607.05,3
211,2019-08-26,G13,328.66,12
212,2019-08-26,G20,353.88,12
213,2019-08-26,G9,407.71,12
214,2019-07-24,G11,575.07,6
215,2019-07-24,G16,580.16,6
216,2019-07-24,G8,544.17,6
217,2019-07-24,G17,677.89,0
218,2019-07-24,G19,625.51,0
219,2019-07-24,G21,760.12,0
220,2019-07-24,G12,578.88,3
221,2019-07-24,G18,608.29,3
222,2019-07-24,G6,492.64,3
223,2019-07-24,G13,434.52,12
224,2019-07-24,G20,504.1,12
225,2019-07-24,G9,499.24,12
226,2019-09-18,G11,633.67,6
227,2019-09-18,G16,512.18,6
228,2019-09-18,G8,567.34,6
229,2019-09-18,G17,579.21,0
230,2019-09-18,G19,650.23,0
231,2019-09-18,G21,677.26,0
232,2019-09-18,G12,771.84,3
233,2019-09-18,G18,662.77,3
234,2019-09-18,G6,543.34,3
235,2019-09-18,G13,227.84,12
236,2019-09-18,G20,254.95,12
237,2019-09-18,G9,279.38,12
238,2020-05-29,G11,370.99,6
239,2020-05-29,G16,318.1,6
240,2020-05-29,G8,392.61,6
241,2020-05-29,G17,373.4,0
242,2020-05-29,G19,449.62,0
243,2020-05-29,G21,358.67,0
244,2020-05-29,G12,429.88,3
245,2020-05-29,G18,313.16,3
246,2020-05-29,G6,260.15,3
247,2020-05-29,G13,259.94,12
248,2020-05-29,G20,363.61,12
249,2020-05-29,G9,209.8,12
250,2020-06-29,G11,645.25,6
251,2020-06-29,G16,577.54,6
252,2020-06-29,G8,1014.56,6
253,2020-06-29,G17,634.59,0
254,2020-06-29,G19,689.65,0
255,2020-06-29,G21,571.93,0
256,2020-06-29,G12,921.74,3
257,2020-06-29,G18,754.52,3
258,2020-06-29,G6,816.15,3
259,2020-06-29,G13,609.77,12
260,2020-06-29,G20,557.8100000000001,12
261,2020-06-29,G9,582.4,12
262,2020-08-14,G11,1147.25,6
263,2020-08-14,G16,1069.03,6
264,2020-08-14,G8,1964.93,6
265,2020-08-14,G17,945.68,0
266,2020-08-14,G19,932.06,0
267,2020-08-14,G21,826.81,0
268,2020-08-14,G12,1429.56,3
269,2020-08-14,G18,1170.76,3
270,2020-08-14,G6,1252.93,3
271,2020-08-14,G13,832.64,12
272,2020-08-14,G20,788.34,12
273,2020-08-14,G9,680.31,12
274,2020-07-20,G11,939.74,6
275,2020-07-20,G16,878.15,6
276,2020-07-20,G8,1448.13,6
277,2020-07-20,G17,765.88,0
278,2020-07-20,G19,778.19,0
279,2020-07-20,G21,864.16,0
280,2020-07-20,G12,1146.5,3
281,2020-07-20,G18,1030.74,3
282,2020-07-20,G6,1143.12,3
283,2020-07-20,G13,694.83,12
284,2020-07-20,G20,693.8100000000001,12
285,2020-07-20,G9,751.84,12
286,2020-09-17,G11,1098.27,6
287,2020-09-17,G16,1084.25,6
288,2020-09-17,G8,1262.96,6
289,2020-09-17,G17,1040.23,0
290,2020-09-17,G19,788.71,0
291,2020-09-17,G21,862.9399999999999,0
292,2020-09-17,G12,1450.81,3
293,2020-09-17,G18,1198.35,3
294,2020-09-17,G6,1597.61,3
295,2020-09-17,G13,1062.98,12
296,2020-09-17,G20,787.06,12
297,2020-09-17,G9,740.23,12
