时间,月份,年份,径流量(m3/s),径流量(m3)
2017-07-01,7,2017,0.17237903,461700.0
2017-08-01,8,2017,0.17288306,463050.0
2017-09-01,9,2017,0.14765625,382725.0
2017-10-01,10,2017,0.11718749,313875.0
2017-11-01,11,2017,0.015104166,39150.0
2017-12-01,12,2017,0.0,0.0
2018-01-01,1,2018,0.0,0.0
2018-02-01,2,2018,0.0,0.0
2018-03-01,3,2018,0.7671371,2054700.0
2018-04-01,4,2018,0.64375,1668600.0
2018-05-01,5,2018,0.15423387,413100.0
2018-06-01,6,2018,0.13645834,353700.0
2018-07-01,7,2018,0.21270162,569700.0
2018-08-01,8,2018,0.5997984,1606500.0
2018-09-01,9,2018,0.6901042,1788750.1
2018-10-01,10,2018,0.36844757,986850.0
2018-11-01,11,2018,0.2893229,749924.94
2018-12-01,12,2018,0.21068548,564300.0
2019-01-01,1,2019,0.15372984,411750.0
2019-02-01,2,2019,0.09933036,240300.0
2019-03-01,3,2019,0.5554435,1487700.0
2019-04-01,4,2019,0.3,777600.0
2019-05-01,5,2019,0.3125,837000.0
2019-06-01,6,2019,0.29895833,774900.0
2019-07-01,7,2019,0.2888105,773550.0
2019-08-01,8,2019,0.30040324,804600.0
2019-09-01,9,2019,0.25,648000.0
2019-10-01,10,2019,0.21018144,562950.0
2019-11-01,11,2019,0.17552084,454950.0
2019-12-01,12,2019,0.12878025,344925.0
2020-01-01,1,2020,0.021169355,56700.0
2020-02-01,2,2020,0.0,0.0
2020-03-01,3,2020,0.9798388,2624400.0
2020-04-01,4,2020,0.17708333,459000.0
2020-05-01,5,2020,0.13205644,353700.0
2020-06-01,6,2020,0.13333334,345600.0
2020-07-01,7,2020,0.19657259,526500.0
2020-08-01,8,2020,0.19808468,530550.0
2020-09-01,9,2020,0.26302084,681750.0
2020-10-01,10,2020,0.2641129,707400.0
2020-11-01,11,2020,0.19661458,509625.0
2020-12-01,12,2020,0.14566532,390150.0
2021-01-01,1,2021,0.06653226,178200.0
2021-02-01,2,2021,0.03348214,81000.0
2021-03-01,3,2021,1.046371,2802600.0
2021-04-01,4,2021,0.20104167,521100.0
2021-05-01,5,2021,0.16028225,429300.0
2021-06-01,6,2021,0.17395833,450900.0
2021-07-01,7,2021,0.38104838,1020600.0
2021-08-01,8,2021,0.421875,1129950.0
2021-09-01,9,2021,0.6557292,1699649.9
2021-10-01,10,2021,0.39264113,1051650.0
2021-11-01,11,2021,0.2955729,766124.94
2021-12-01,12,2021,0.21723792,581850.0
2022-01-01,1,2022,0.16078629,430650.0
2022-02-01,2,2022,0.116071425,280800.0
2022-03-01,3,2022,0.82560486,2211300.0
