日期,年份,轮次,处理,放牧小区Block,干重(g)
2017-06-26,2017,第一轮牧后,中牧（6天）,G11,546.03
2017-06-26,2017,第一轮牧后,中牧（6天）,G16,439.99
2017-06-26,2017,第一轮牧后,中牧（6天）,G8,546.98
2017-06-26,2017,第一轮牧后,无牧（0天）,G17,367.81
2017-06-26,2017,第一轮牧后,无牧（0天）,G19,321.41
2017-06-26,2017,第一轮牧后,无牧（0天）,G21,373.65000000000003
2017-06-26,2017,第一轮牧后,轻牧（3天）,G12,593.18
2017-06-26,2017,第一轮牧后,轻牧（3天）,G18,466.59
2017-06-26,2017,第一轮牧后,轻牧（3天）,G6,738.89
2017-06-26,2017,第一轮牧后,重牧（12天）,G13,628.21
2017-06-26,2017,第一轮牧后,重牧（12天）,G20,386.28999999999996
2017-06-26,2017,第一轮牧后,重牧（12天）,G9,587.31
2017-08-27,2017,第三轮牧后,中牧（6天）,G11,1124.32
2017-08-27,2017,第三轮牧后,中牧（6天）,G16,1042.17
2017-08-27,2017,第三轮牧后,中牧（6天）,G8,1034.16
2017-08-27,2017,第三轮牧后,无牧（0天）,G17,907.06
2017-08-27,2017,第三轮牧后,无牧（0天）,G19,890.26
2017-08-27,2017,第三轮牧后,无牧（0天）,G21,799.8299999999999
2017-08-27,2017,第三轮牧后,轻牧（3天）,G12,1078.44
2017-08-27,2017,第三轮牧后,轻牧（3天）,G18,1027.01
2017-08-27,2017,第三轮牧后,轻牧（3天）,G6,1178.21
2017-08-27,2017,第三轮牧后,重牧（12天）,G13,1161.71
2017-08-27,2017,第三轮牧后,重牧（12天）,G20,991.8100000000001
2017-08-27,2017,第三轮牧后,重牧（12天）,G9,993.75
2017-07-22,2017,第二轮牧后,中牧（6天）,G11,748.9499999999999
2017-07-22,2017,第二轮牧后,中牧（6天）,G16,748.32
2017-07-22,2017,第二轮牧后,中牧（6天）,G8,698.91
2017-07-22,2017,第二轮牧后,无牧（0天）,G17,476.77
2017-07-22,2017,第二轮牧后,无牧（0天）,G19,530.21
2017-07-22,2017,第二轮牧后,无牧（0天）,G21,542.19
2017-07-22,2017,第二轮牧后,轻牧（3天）,G12,812.6999999999999
2017-07-22,2017,第二轮牧后,轻牧（3天）,G18,664.69
2017-07-22,2017,第二轮牧后,轻牧（3天）,G6,1116.6399999999999
2017-07-22,2017,第二轮牧后,重牧（12天）,G13,957.31
2017-07-22,2017,第二轮牧后,重牧（12天）,G20,687.21
2017-07-22,2017,第二轮牧后,重牧（12天）,G9,889.84
2017-09-20,2017,第四轮牧后,中牧（6天）,G11,854.4
2017-09-20,2017,第四轮牧后,中牧（6天）,G16,744.65
2017-09-20,2017,第四轮牧后,中牧（6天）,G8,945.91
2017-09-20,2017,第四轮牧后,无牧（0天）,G17,596.8
2017-09-20,2017,第四轮牧后,无牧（0天）,G19,640.58
2017-09-20,2017,第四轮牧后,无牧（0天）,G21,582.6
2017-09-20,2017,第四轮牧后,轻牧（3天）,G12,850.0699999999999
2017-09-20,2017,第四轮牧后,轻牧（3天）,G18,800.99
2017-09-20,2017,第四轮牧后,轻牧（3天）,G6,985.9
2017-09-20,2017,第四轮牧后,重牧（12天）,G13,910.51
2017-09-20,2017,第四轮牧后,重牧（12天）,G20,816.97
2017-09-20,2017,第四轮牧后,重牧（12天）,G9,870.6
2018-05-15,2018,牧前,中牧（6天）,G11,51.089999999999996
2018-05-15,2018,牧前,中牧（6天）,G16,50.5
2018-05-15,2018,牧前,中牧（6天）,G8,68.11
2018-05-15,2018,牧前,无牧（0天）,G17,59.62
2018-05-15,2018,牧前,无牧（0天）,G19,50.1
2018-05-15,2018,牧前,无牧（0天）,G21,63.22
2018-05-15,2018,牧前,轻牧（3天）,G12,56.405
2018-05-15,2018,牧前,轻牧（3天）,G18,30.43
2018-05-15,2018,牧前,轻牧（3天）,G6,71.87
2018-05-15,2018,牧前,重牧（12天）,G13,44.23
2018-05-15,2018,牧前,重牧（12天）,G20,59.400000000000006
2018-05-15,2018,牧前,重牧（12天）,G9,37.62
2018-06-25,2018,第一轮牧后,中牧（6天）,G11,274.96999999999997
2018-06-25,2018,第一轮牧后,中牧（6天）,G16,263.27
2018-06-25,2018,第一轮牧后,中牧（6天）,G8,432.42
2018-06-25,2018,第一轮牧后,无牧（0天）,G17,392.42
2018-06-25,2018,第一轮牧后,无牧（0天）,G19,248.89000000000001
2018-06-25,2018,第一轮牧后,无牧（0天）,G21,360.73
2018-06-25,2018,第一轮牧后,轻牧（3天）,G12,291.0
2018-06-25,2018,第一轮牧后,轻牧（3天）,G18,213.3
2018-06-25,2018,第一轮牧后,轻牧（3天）,G6,375.96
2018-06-25,2018,第一轮牧后,重牧（12天）,G13,250.65
2018-06-25,2018,第一轮牧后,重牧（12天）,G20,200.94
2018-06-25,2018,第一轮牧后,重牧（12天）,G9,288.57
2018-08-21,2018,第三轮牧后,中牧（6天）,G11,576.35
2018-08-21,2018,第三轮牧后,中牧（6天）,G16,456.84999999999997
2018-08-21,2018,第三轮牧后,中牧（6天）,G8,719.4399999999999
2018-08-21,2018,第三轮牧后,无牧（0天）,G17,610.25
2018-08-21,2018,第三轮牧后,无牧（0天）,G19,578.14
2018-08-21,2018,第三轮牧后,无牧（0天）,G21,567.57
2018-08-21,2018,第三轮牧后,轻牧（3天）,G12,611.13
2018-08-21,2018,第三轮牧后,轻牧（3天）,G18,611.15
2018-08-21,2018,第三轮牧后,轻牧（3天）,G6,769.71
2018-08-21,2018,第三轮牧后,重牧（12天）,G13,418.52
2018-08-21,2018,第三轮牧后,重牧（12天）,G20,440.90999999999997
2018-08-21,2018,第三轮牧后,重牧（12天）,G9,466.08
2018-07-22,2018,第二轮牧后,中牧（6天）,G11,687.25
2018-07-22,2018,第二轮牧后,中牧（6天）,G8,643.36
2018-07-22,2018,第二轮牧后,无牧（0天）,G17,530.6
2018-07-22,2018,第二轮牧后,无牧（0天）,G19,460.15
2018-07-22,2018,第二轮牧后,无牧（0天）,G21,549.98
2018-07-22,2018,第二轮牧后,轻牧（3天）,G12,581.34
2018-07-22,2018,第二轮牧后,轻牧（3天）,G18,659.57
2018-07-22,2018,第二轮牧后,轻牧（3天）,G6,935.87
2018-07-22,2018,第二轮牧后,重牧（12天）,G13,637.13
2018-07-22,2018,第二轮牧后,重牧（12天）,G20,633.17
2018-07-22,2018,第二轮牧后,重牧（12天）,G9,576.1899999999999
2018-09-21,2018,第四轮牧后,中牧（6天）,G11,541.52
2018-09-21,2018,第四轮牧后,中牧（6天）,G16,658.5699999999999
2018-09-21,2018,第四轮牧后,中牧（6天）,G8,494.77
2018-09-21,2018,第四轮牧后,无牧（0天）,G17,760.99
2018-09-21,2018,第四轮牧后,无牧（0天）,G19,656.38
2018-09-21,2018,第四轮牧后,无牧（0天）,G21,579.39
2018-09-21,2018,第四轮牧后,轻牧（3天）,G12,613.05
2018-09-21,2018,第四轮牧后,轻牧（3天）,G18,484.9
2018-09-21,2018,第四轮牧后,轻牧（3天）,G6,762.6
2018-09-21,2018,第四轮牧后,重牧（12天）,G13,258.54
2018-09-21,2018,第四轮牧后,重牧（12天）,G20,267.51
2018-09-21,2018,第四轮牧后,重牧（12天）,G9,319.34999999999997
2019-05-10,2019,牧前,中牧（6天）,G11,126.79
2019-05-10,2019,牧前,中牧（6天）,G16,109.33999999999999
2019-05-10,2019,牧前,中牧（6天）,G8,85.73
2019-05-10,2019,牧前,无牧（0天）,G17,78.49
2019-05-10,2019,牧前,无牧（0天）,G19,80.0
2019-05-10,2019,牧前,无牧（0天）,G21,61.73
2019-05-10,2019,牧前,轻牧（3天）,G12,103.23
2019-05-10,2019,牧前,轻牧（3天）,G18,101.19
2019-05-10,2019,牧前,轻牧（3天）,G6,114.49
2019-05-10,2019,牧前,重牧（12天）,G13,71.9
2019-05-10,2019,牧前,重牧（12天）,G20,92.42
2019-05-10,2019,牧前,重牧（12天）,G9,101.17
2019-06-26,2019,第一轮牧后,中牧（6天）,G11,512.8100000000001
2019-06-26,2019,第一轮牧后,中牧（6天）,G16,461.40000000000003
2019-06-26,2019,第一轮牧后,中牧（6天）,G8,516.69
2019-06-26,2019,第一轮牧后,无牧（0天）,G17,504.39
2019-06-26,2019,第一轮牧后,无牧（0天）,G19,390.77
2019-06-26,2019,第一轮牧后,无牧（0天）,G21,578.52
2019-06-26,2019,第一轮牧后,轻牧（3天）,G12,485.22999999999996
2019-06-26,2019,第一轮牧后,轻牧（3天）,G18,463.5
2019-06-26,2019,第一轮牧后,轻牧（3天）,G6,586.77
2019-06-26,2019,第一轮牧后,重牧（12天）,G13,315.34
2019-06-26,2019,第一轮牧后,重牧（12天）,G20,389.58
2019-06-26,2019,第一轮牧后,重牧（12天）,G9,413.64
2019-08-26,2019,第三轮牧后,中牧（6天）,G11,543.5
2019-08-26,2019,第三轮牧后,中牧（6天）,G16,591.21
2019-08-26,2019,第三轮牧后,中牧（6天）,G8,655.57
2019-08-26,2019,第三轮牧后,无牧（0天）,G17,635.4300000000001
2019-08-26,2019,第三轮牧后,无牧（0天）,G19,478.49
2019-08-26,2019,第三轮牧后,无牧（0天）,G21,635.7
2019-08-26,2019,第三轮牧后,轻牧（3天）,G12,599.8
2019-08-26,2019,第三轮牧后,轻牧（3天）,G18,611.6
2019-08-26,2019,第三轮牧后,轻牧（3天）,G6,607.05
2019-08-26,2019,第三轮牧后,重牧（12天）,G13,328.65999999999997
2019-08-26,2019,第三轮牧后,重牧（12天）,G20,353.88
2019-08-26,2019,第三轮牧后,重牧（12天）,G9,407.71
2019-07-24,2019,第二轮牧后,中牧（6天）,G11,575.07
2019-07-24,2019,第二轮牧后,中牧（6天）,G16,580.16
2019-07-24,2019,第二轮牧后,中牧（6天）,G8,544.17
2019-07-24,2019,第二轮牧后,无牧（0天）,G17,677.89
2019-07-24,2019,第二轮牧后,无牧（0天）,G19,625.51
2019-07-24,2019,第二轮牧后,无牧（0天）,G21,760.12
2019-07-24,2019,第二轮牧后,轻牧（3天）,G12,578.88
2019-07-24,2019,第二轮牧后,轻牧（3天）,G18,608.29
2019-07-24,2019,第二轮牧后,轻牧（3天）,G6,492.64
2019-07-24,2019,第二轮牧后,重牧（12天）,G13,434.52
2019-07-24,2019,第二轮牧后,重牧（12天）,G20,504.1
2019-07-24,2019,第二轮牧后,重牧（12天）,G9,499.24
2019-09-18,2019,第四轮牧后,中牧（6天）,G11,633.67
2019-09-18,2019,第四轮牧后,中牧（6天）,G16,512.18
2019-09-18,2019,第四轮牧后,中牧（6天）,G8,567.34
2019-09-18,2019,第四轮牧后,无牧（0天）,G17,579.21
2019-09-18,2019,第四轮牧后,无牧（0天）,G19,650.23
2019-09-18,2019,第四轮牧后,无牧（0天）,G21,677.26
2019-09-18,2019,第四轮牧后,轻牧（3天）,G12,771.84
2019-09-18,2019,第四轮牧后,轻牧（3天）,G18,662.77
2019-09-18,2019,第四轮牧后,轻牧（3天）,G6,543.34
2019-09-18,2019,第四轮牧后,重牧（12天）,G13,227.83999999999997
2019-09-18,2019,第四轮牧后,重牧（12天）,G20,254.95
2019-09-18,2019,第四轮牧后,重牧（12天）,G9,279.38
2020-05-29,2020,牧前,中牧（6天）,G11,370.99
2020-05-29,2020,牧前,中牧（6天）,G16,318.09999999999997
2020-05-29,2020,牧前,中牧（6天）,G8,392.61
2020-05-29,2020,牧前,无牧（0天）,G17,373.4
2020-05-29,2020,牧前,无牧（0天）,G19,449.62
2020-05-29,2020,牧前,无牧（0天）,G21,358.67
2020-05-29,2020,牧前,轻牧（3天）,G12,429.88
2020-05-29,2020,牧前,轻牧（3天）,G18,313.16
2020-05-29,2020,牧前,轻牧（3天）,G6,260.15
2020-05-29,2020,牧前,重牧（12天）,G13,259.94
2020-05-29,2020,牧前,重牧（12天）,G20,363.61
2020-05-29,2020,牧前,重牧（12天）,G9,209.8
2020-06-29,2020,第一轮牧后,中牧（6天）,G11,645.25
2020-06-29,2020,第一轮牧后,中牧（6天）,G16,577.54
2020-06-29,2020,第一轮牧后,中牧（6天）,G8,1014.56
2020-06-29,2020,第一轮牧后,无牧（0天）,G17,634.59
2020-06-29,2020,第一轮牧后,无牧（0天）,G19,689.65
2020-06-29,2020,第一轮牧后,无牧（0天）,G21,571.93
2020-06-29,2020,第一轮牧后,轻牧（3天）,G12,921.74
2020-06-29,2020,第一轮牧后,轻牧（3天）,G18,754.52
2020-06-29,2020,第一轮牧后,轻牧（3天）,G6,816.15
2020-06-29,2020,第一轮牧后,重牧（12天）,G13,609.77
2020-06-29,2020,第一轮牧后,重牧（12天）,G20,557.8100000000001
2020-06-29,2020,第一轮牧后,重牧（12天）,G9,582.4
2020-08-14,2020,第三轮牧后,中牧（6天）,G11,1147.25
2020-08-14,2020,第三轮牧后,中牧（6天）,G16,1069.03
2020-08-14,2020,第三轮牧后,中牧（6天）,G8,1964.93
2020-08-14,2020,第三轮牧后,无牧（0天）,G17,945.68
2020-08-14,2020,第三轮牧后,无牧（0天）,G19,932.06
2020-08-14,2020,第三轮牧后,无牧（0天）,G21,826.81
2020-08-14,2020,第三轮牧后,轻牧（3天）,G12,1429.56
2020-08-14,2020,第三轮牧后,轻牧（3天）,G18,1170.76
2020-08-14,2020,第三轮牧后,轻牧（3天）,G6,1252.93
2020-08-14,2020,第三轮牧后,重牧（12天）,G13,832.64
2020-08-14,2020,第三轮牧后,重牧（12天）,G20,788.34
2020-08-14,2020,第三轮牧后,重牧（12天）,G9,680.31
2020-07-20,2020,第二轮牧后,中牧（6天）,G11,939.74
2020-07-20,2020,第二轮牧后,中牧（6天）,G16,878.15
2020-07-20,2020,第二轮牧后,中牧（6天）,G8,1448.13
2020-07-20,2020,第二轮牧后,无牧（0天）,G17,765.88
2020-07-20,2020,第二轮牧后,无牧（0天）,G19,778.19
2020-07-20,2020,第二轮牧后,无牧（0天）,G21,864.16
2020-07-20,2020,第二轮牧后,轻牧（3天）,G12,1146.5
2020-07-20,2020,第二轮牧后,轻牧（3天）,G18,1030.74
2020-07-20,2020,第二轮牧后,轻牧（3天）,G6,1143.12
2020-07-20,2020,第二轮牧后,重牧（12天）,G13,694.83
2020-07-20,2020,第二轮牧后,重牧（12天）,G20,693.8100000000001
2020-07-20,2020,第二轮牧后,重牧（12天）,G9,751.84
2020-09-17,2020,第四轮牧后,中牧（6天）,G11,1098.27
2020-09-17,2020,第四轮牧后,中牧（6天）,G16,1084.25
2020-09-17,2020,第四轮牧后,中牧（6天）,G8,1262.96
2020-09-17,2020,第四轮牧后,无牧（0天）,G17,1040.23
2020-09-17,2020,第四轮牧后,无牧（0天）,G19,788.71
2020-09-17,2020,第四轮牧后,无牧（0天）,G21,862.9399999999999
2020-09-17,2020,第四轮牧后,轻牧（3天）,G12,1450.81
2020-09-17,2020,第四轮牧后,轻牧（3天）,G18,1198.35
2020-09-17,2020,第四轮牧后,轻牧（3天）,G6,1597.6100000000001
2020-09-17,2020,第四轮牧后,重牧（12天）,G13,1062.98
2020-09-17,2020,第四轮牧后,重牧（12天）,G20,787.06
2020-09-17,2020,第四轮牧后,重牧（12天）,G9,740.23
